feature,importance,cumulative_importance
modal_price,0.3520863893857213,0.3520863893857213
max_price,0.22482500783872883,0.5769113972244502
min_price,0.1542638872616708,0.731175284486121
Commodity_Cashewnuts,0.09443974124581028,0.8256150257319312
modal_price_lag_1d,0.0562171915331212,0.8818322172650525
modal_price_roll_mean_7d,0.0546229780808392,0.9364551953458916
modal_price_roll_std_7d,0.006080295390323526,0.9425354907362151
day_of_year,0.005492803934656237,0.9480282946708714
rainfall_cum_30d,0.004194560515100267,0.9522228551859716
sin_day_of_year,0.003956312262018997,0.9561791674479906
cos_day_of_year,0.00394014675746836,0.9601193142054589
rainfall_cum_14d,0.003529179804473147,0.963648494009932
price_range,0.0034272840155907627,0.9670757780255228
rainfall_cum_7d,0.00292980866628345,0.9700055866918063
Commodity_Apple,0.0027365745372988012,0.9727421612291051
dry_spell_days_14d,0.001839027117757478,0.9745811883468626
rainfall_consensus_mm,0.0014901854783236396,0.9760713738251863
rainfall_imd_mm,0.001473586300813402,0.9775449601259997
price_position,0.0014696927781709496,0.9790146529041707
rainfall_vic_mm,0.0014055797635691715,0.9804202326677398
days_since_prev_obs,0.0011965062480044926,0.9816167389157443
day_of_week,0.0011867792632903064,0.9828035181790347
month,0.001174407072919987,0.9839779252519546
sin_month,0.0010927270958866822,0.9850706523478413
Commodity_Green Chilli,0.0010147223218519082,0.9860853746696933
cos_month,0.000913812271316794,0.9869991869410101
quarter,0.0008771251696528293,0.987876312110663
Commodity_Fish,0.0007157750026232222,0.9885920871132862
Commodity_Capsicum,0.0006179596688827727,0.989210046782169
Commodity_Cauliflower,0.0005913349692835071,0.9898013817514525
Commodity_Tomato,0.0005112489196236094,0.9903126306710761
District_Kishanganj,0.0004942152109915926,0.9908068458820677
is_monsoon,0.0004773912781282718,0.991284237160196
Commodity_Bhindi(Ladies Finger),0.0004697474261623425,0.9917539845863583
District_Patna,0.000445243740337211,0.9921992283266955
District_Madhubani,0.00036750277139102,0.9925667310980865
Commodity_Brinjal,0.0003591744919657453,0.9929259055900522
Commodity_Pointed gourd (Parval),0.00035090422254093097,0.9932768098125931
District_Begusarai,0.0003137781741705312,0.9935905879867637
District_East Champaran,0.0002775294519129178,0.9938681174386766
Commodity_Onion,0.00026438705661706,0.9941325044952937
District_Rohtas,0.00022994211561083635,0.9943624466109044
reporting_mandis,0.0002297409093818233,0.9945921875202862
Commodity_Bitter gourd,0.0002244533243864354,0.9948166408446727
District_Supaul,0.00022222443680384147,0.9950388652814766
District_Siwan,0.0002111244492486319,0.9952499897307252
District_Khagaria,0.00020497271292070816,0.995454962443646
observation_count,0.000198658704048728,0.9956536211476947
District_Gopalganj,0.00019863095211623377,0.995852252099811
District_West Champaran,0.00018628572593120378,0.9960385378257421
District_Samastipur,0.00018020822069130194,0.9962187460464335
Commodity_Potato,0.000170350657772327,0.9963890967042058
Commodity_Cucumbar(Kheera),0.00016916279308593212,0.9965582594972918
District_Bhagalpur,0.00016475702870767227,0.9967230165259995
District_Munger,0.00016309835178397804,0.9968861148777834
District_Nalanda,0.00015289129489800784,0.9970390061726815
District_Araria,0.0001483666483062255,0.9971873728209877
Commodity_Cabbage,0.00013775651878777495,0.9973251293397755
District_Saharsa,0.00013572377194118272,0.9974608531117166
District_Buxar,0.00012766657673590363,0.9975885196884525
Commodity_Mango,0.00012635581445231834,0.9977148755029048
District_Madhepura,0.0001234926426298361,0.9978383681455346
District_Purnea,0.0001185650688162893,0.9979569332143509
District_Vaishali,0.00011216010805878879,0.9980690933224097
District_Katihar,0.00011134437624515023,0.9981804376986548
Commodity_Grapes,0.00010993371820511461,0.99829037141686
Commodity_Guava,0.00010303271975744875,0.9983934041366174
District_Gaya,9.628414924578468e-05,0.9984896882858632
excess_rain_shock_7d,9.501178256480106e-05,0.9985847000684279
District_Kaimur,8.84810530524889e-05,0.9986731811214804
District_Aurangabad,8.78493708231413e-05,0.9987610304923036
Commodity_Sponge gourd,8.04725714948103e-05,0.9988415030637984
Commodity_Pomegranate,7.852205276080007e-05,0.9989200251165592
District_Lakhisarai,7.492230633870488e-05,0.9989949474228978
Commodity_Banana,7.032590055696551e-05,0.9990652733234548
District_Banka,6.760809421640914e-05,0.9991328814176712
Commodity_Ginger(Green),6.253594246780173e-05,0.9991954173601391
District_Jamui,6.0206713731637423e-05,0.9992556240738707
Commodity_Orange,5.253679730751558e-05,0.9993081608711782
Commodity_Bottle gourd,5.2138663279219764e-05,0.9993602995344575
Commodity_Field Pea,5.0063305758167434e-05,0.9994103628402157
Commodity_Coriander(Leaves),4.622973243970923e-05,0.9994565925726554
District_Nawada,4.5887055956819944e-05,0.9995024796286123
Commodity_Raddish,4.553548991930555e-05,0.9995480151185315
Commodity_Mousambi(Sweet Lime),4.189570411785161e-05,0.9995899108226494
Commodity_Garlic,3.389749956060681e-05,0.99962380832221
Commodity_Papaya,3.1508800449895443e-05,0.9996553171226599
District_Sitamarhi,2.9053056105672735e-05,0.9996843701787655
District_Sheohar,2.6262076605697456e-05,0.9997106322553713
Commodity_Carrot,2.2550011695096147e-05,0.9997331822670663
Commodity_Water Melon,2.0786276710635952e-05,0.999753968543777
Commodity_Pumpkin,2.0646405306654834e-05,0.9997746149490836
District_Arwal,1.977263422511042e-05,0.9997943875833087
District_Darbhanga,1.942894853797514e-05,0.9998138165318468
District_Sheikhpura,1.8592433949922434e-05,0.9998324089657967
Commodity_Dalda,1.7244245475514755e-05,0.9998496532112723
Commodity_Cowpea(Veg),1.676240558554588e-05,0.9998664156168579
District_Jehanabad,1.6630196017807927e-05,0.9998830458128757
District_Saran,1.6397707602384245e-05,0.9998994435204781
year,1.2230387077045404e-05,0.9999116739075552
Commodity_Mustard Oil,1.0737410147388555e-05,0.9999224113177025
Commodity_Little gourd (Kundru),1.0351240861293866e-05,0.9999327625585638
District_Bhojpur,8.388801257656194e-06,0.9999411513598214
Commodity_Arhar (Tur/Red Gram)(Whole),7.211005527318596e-06,0.9999483623653488
Commodity_Rice,6.841439075569198e-06,0.9999552038044244
Commodity_Beetroot,6.5770875434663335e-06,0.9999617808919679
Commodity_Drumstick,5.832158620804107e-06,0.9999676130505887
Commodity_Banana - Green,4.786097999285343e-06,0.9999723991485879
Commodity_Arhar Dal(Tur Dal),4.219788268983952e-06,0.999976618936857
Commodity_Mustard,2.95167619937777e-06,0.9999795706130563
District_Muzaffarpur,2.632177181778505e-06,0.9999822027902381
Commodity_Lentil (Masur)(Whole),2.4948677104348396e-06,0.9999846976579485
Commodity_Litchi,2.3612511250833195e-06,0.9999870589090736
Commodity_Jack Fruit,2.1268708620729345e-06,0.9999891857799357
Commodity_Wheat,1.6910812887242935e-06,0.9999908768612245
Commodity_Ridgeguard(Tori),1.5185508101648657e-06,0.9999923954120347
